,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre,Top100
46,0.746,0.703,-4.1789999999999985,0.107,0.35200000000000004,0.0,0.331,0.667,166.043,6,0
47,0.823,0.63,-3.932,0.0797,0.0348,6.72e-06,0.0964,0.184,100.04,7,0
48,0.701,0.512,-6.869,0.0969,0.235,5.07e-06,0.135,0.6629999999999999,91.947,6,0
49,0.8,0.578,-5.144,0.0485,0.00381,0.0,0.359,0.3670000000000001,143.01,7,0
50,0.8170000000000001,0.74,-4.566,0.28300000000000003,0.266,0.0,0.0992,0.674,130.04,6,0
51,0.398,0.66,-5.626,0.12,0.107,0.0,0.121,0.7190000000000001,83.82799999999997,6,0
52,0.659,0.7340000000000001,-4.008,0.046,0.0526,2.48e-06,0.242,0.34600000000000003,161.971,7,0
53,0.716,0.7659999999999999,-4.133,0.173,0.219,0.0,0.244,0.7390000000000001,160.1,7,0
54,0.723,0.687,-4.632,0.2,0.0255,0.000207,0.124,0.777,173.747,6,0
55,0.928,0.402,-7.569,0.451,0.0257,0.0,0.0804,0.62,139.998,7,0
56,0.465,0.675,-7.555,0.0485,0.902,0.267,0.11,0.129,119.941,6,0
57,0.632,0.652,-10.558,0.0302,0.5710000000000001,0.85,0.194,0.594,115.031,6,0
58,0.575,0.184,-10.26,0.0636,0.93,0.0,0.096,0.188,83.616,6,0
59,0.871,0.55,-6.113,0.0613,0.0927,0.000742,0.0788,0.448,96.018,6,0
60,0.8290000000000001,0.606,-7.093,0.149,0.0646,0.391,0.281,0.732,118.051,6,0
61,0.8170000000000001,0.635,-5.7189999999999985,0.138,0.13699999999999998,7.85e-06,0.245,0.777,103.029,6,0
62,0.635,0.902,-3.559,0.109,0.172,0.0,0.125,0.28600000000000003,102.063,7,0
63,0.815,0.626,-5.1389999999999985,0.103,0.267,1.31e-05,0.275,0.5710000000000001,109.989,7,0
64,0.7509999999999999,0.579,-4.0360000000000005,0.0321,0.398,2.28e-05,0.133,0.349,105.031,6,0
65,0.701,0.82,-5.481,0.0503,0.00282,1.97e-06,0.315,0.552,102.997,7,0
66,0.544,0.848,-3.574,0.0658,0.00321,0.0,0.0561,0.657,92.061,6,0
67,0.84,0.789,-4.695,0.0949,0.102,0.0,0.309,0.619,92.018,6,0
68,0.831,0.713,-3.646,0.094,0.181,0.0,0.0572,0.69,132.109,6,0
69,0.792,0.895,-3.112,0.0589,0.165,0.0,0.0501,0.794,94.968,6,0
70,0.596,0.557,-7.522,0.134,0.0983,0.0,0.0565,0.6609999999999999,133.247,7,0
71,0.746,0.738,-3.67,0.207,0.0705,0.0,0.043,0.63,94.808,6,0
72,0.493,0.825,-4.056,0.0798,0.0079,0.0,0.129,0.621,99.866,7,0
73,0.871,0.563,-8.329,0.0795,0.149,0.0,0.0568,0.62,91.998,7,0
74,0.784,0.4370000000000001,-7.8679999999999986,0.0509,0.265,6.979999999999999e-05,0.126,0.47,90.00299999999999,6,0
75,0.494,0.7290000000000001,-4.934,0.161,0.133,0.0,0.14300000000000002,0.421,78.833,6,0
76,0.483,0.685,-3.232,0.174,0.369,0.0,0.0817,0.546,185.502,7,0
77,0.62,0.823,-2.436,0.0567,0.0762,3.13e-05,0.112,0.404,175.921,7,0
78,0.7040000000000001,0.8590000000000001,-4.877,0.0996,0.0185,0.0,0.0215,0.926,105.115,6,0
79,0.631,0.7709999999999999,-5.78,0.0517,0.628,3.65e-05,0.0946,0.466,100.931,6,0
